,participant_id,Q1_province,Q1a_urban_rural,Q2_canadian_tenure,Q3_generation,Q5_identity_connection,Q11_tagline_text_combined,cleaned_text_tagline,main_topic_tagline,main_topic_label_tagline,main_topic_keywords_tagline,main_sentiment_tagline,main_topics_tagline,main_topic_keywords_tagline_list,count_tagline
164,19f0f83a-6671-4afe-8d36-3e0875caf21b,Alberta,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,Canada-kind of a mess.,canadakind mess,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEGATIVE,Miscellaneous / Other, value,1
165,300b28a7-7483-4abc-921f-c38360044ee5,Nova Scotia,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Somewhat connected,Im not sure,sure,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other,sure,1
165,300b28a7-7483-4abc-921f-c38360044ee5,Nova Scotia,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Somewhat connected,Im not sure,sure,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other, asking,1
165,300b28a7-7483-4abc-921f-c38360044ee5,Nova Scotia,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Somewhat connected,Im not sure,sure,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other, sorry,1
165,300b28a7-7483-4abc-921f-c38360044ee5,Nova Scotia,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Somewhat connected,Im not sure,sure,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other, fine,1
166,1b52a8fa-2183-4d2c-99f8-f801cf539474,New Brunswick,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Not very connected,The liberal party is dead,liberal party dead,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",NEGATIVE,Politics & Governance,liberal,1
166,1b52a8fa-2183-4d2c-99f8-f801cf539474,New Brunswick,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Not very connected,The liberal party is dead,liberal party dead,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",NEGATIVE,Miscellaneous / Other, party,1
166,1b52a8fa-2183-4d2c-99f8-f801cf539474,New Brunswick,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Not very connected,The liberal party is dead,liberal party dead,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",NEGATIVE,Miscellaneous / Other, destroyed,1
166,1b52a8fa-2183-4d2c-99f8-f801cf539474,New Brunswick,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Not very connected,The liberal party is dead,liberal party dead,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",NEGATIVE,Miscellaneous / Other, british,1
167,cfa3109d-e0c3-4473-831b-3fd79d8e9f4d,Nova Scotia,"Rural (small town, village, or countryside)",All my life,Gen X (born ~1965–1980),Very connected,"The biggest they could dream was to be ""not as bad as the states""",biggest could dream wa bad state,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEGATIVE,Canada & National Identity,nation,1
167,cfa3109d-e0c3-4473-831b-3fd79d8e9f4d,Nova Scotia,"Rural (small town, village, or countryside)",All my life,Gen X (born ~1965–1980),Very connected,"The biggest they could dream was to be ""not as bad as the states""",biggest could dream wa bad state,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEGATIVE,Canada & National Identity, country,1
167,cfa3109d-e0c3-4473-831b-3fd79d8e9f4d,Nova Scotia,"Rural (small town, village, or countryside)",All my life,Gen X (born ~1965–1980),Very connected,"The biggest they could dream was to be ""not as bad as the states""",biggest could dream wa bad state,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEGATIVE,Miscellaneous / Other, culture,1
167,cfa3109d-e0c3-4473-831b-3fd79d8e9f4d,Nova Scotia,"Rural (small town, village, or countryside)",All my life,Gen X (born ~1965–1980),Very connected,"The biggest they could dream was to be ""not as bad as the states""",biggest could dream wa bad state,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEGATIVE,Miscellaneous / Other, resource,1
168,87ec22fb-3766-49c3-8509-584c3765d55a,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,We've messed up a million times over and are walking towards as better path.,missed million time walking towards better path,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Canada & National Identity,nation,1
168,87ec22fb-3766-49c3-8509-584c3765d55a,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,We've messed up a million times over and are walking towards as better path.,missed million time walking towards better path,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Canada & National Identity, country,1
168,87ec22fb-3766-49c3-8509-584c3765d55a,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,We've messed up a million times over and are walking towards as better path.,missed million time walking towards better path,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Miscellaneous / Other, culture,1
168,87ec22fb-3766-49c3-8509-584c3765d55a,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,We've messed up a million times over and are walking towards as better path.,missed million time walking towards better path,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Miscellaneous / Other, resource,1
169,52e7a216-95c0-47a9-8750-6c21be2a87b7,Ontario,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Somewhat connected,Look out stay safe,look stay safe,18,Ensure & Safe & Prepared & Guard,"ensure, safe, prepared, guard",POSITIVE,Miscellaneous / Other,ensure,1
169,52e7a216-95c0-47a9-8750-6c21be2a87b7,Ontario,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Somewhat connected,Look out stay safe,look stay safe,18,Ensure & Safe & Prepared & Guard,"ensure, safe, prepared, guard",POSITIVE,Miscellaneous / Other, safe,1
169,52e7a216-95c0-47a9-8750-6c21be2a87b7,Ontario,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Somewhat connected,Look out stay safe,look stay safe,18,Ensure & Safe & Prepared & Guard,"ensure, safe, prepared, guard",POSITIVE,Miscellaneous / Other, prepared,1
169,52e7a216-95c0-47a9-8750-6c21be2a87b7,Ontario,Urban (big city or downtown area),All my life,Gen X (born ~1965–1980),Somewhat connected,Look out stay safe,look stay safe,18,Ensure & Safe & Prepared & Guard,"ensure, safe, prepared, guard",POSITIVE,Miscellaneous / Other, guard,1
170,6ec24d72-de86-4768-942e-7732fe27c168,Ontario,"Rural (small town, village, or countryside)",20+ years,Boomer (born ~1946–1964),Very connected,"A vast landmass with a population drawn from around the world based on the history of its native peoples, the French and English conquests and different culturally than any other country",vast landless population drawn around world based history native people french english conquest different cultural country,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEUTRAL,Canada & National Identity,nation,1
170,6ec24d72-de86-4768-942e-7732fe27c168,Ontario,"Rural (small town, village, or countryside)",20+ years,Boomer (born ~1946–1964),Very connected,"A vast landmass with a population drawn from around the world based on the history of its native peoples, the French and English conquests and different culturally than any other country",vast landless population drawn around world based history native people french english conquest different cultural country,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEUTRAL,Canada & National Identity, country,1
170,6ec24d72-de86-4768-942e-7732fe27c168,Ontario,"Rural (small town, village, or countryside)",20+ years,Boomer (born ~1946–1964),Very connected,"A vast landmass with a population drawn from around the world based on the history of its native peoples, the French and English conquests and different culturally than any other country",vast landless population drawn around world based history native people french english conquest different cultural country,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEUTRAL,Miscellaneous / Other, culture,1
170,6ec24d72-de86-4768-942e-7732fe27c168,Ontario,"Rural (small town, village, or countryside)",20+ years,Boomer (born ~1946–1964),Very connected,"A vast landmass with a population drawn from around the world based on the history of its native peoples, the French and English conquests and different culturally than any other country",vast landless population drawn around world based history native people french english conquest different cultural country,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",NEUTRAL,Miscellaneous / Other, resource,1
171,b1ac99ef-00a5-4c7c-955b-2ce9c0be34a7,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),A little connected,Unsure,ensure,18,Ensure & Safe & Prepared & Guard,"ensure, safe, prepared, guard",NEUTRAL,Miscellaneous / Other,ensure,1
171,b1ac99ef-00a5-4c7c-955b-2ce9c0be34a7,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),A little connected,Unsure,ensure,18,Ensure & Safe & Prepared & Guard,"ensure, safe, prepared, guard",NEUTRAL,Miscellaneous / Other, safe,1
171,b1ac99ef-00a5-4c7c-955b-2ce9c0be34a7,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),A little connected,Unsure,ensure,18,Ensure & Safe & Prepared & Guard,"ensure, safe, prepared, guard",NEUTRAL,Miscellaneous / Other, prepared,1
171,b1ac99ef-00a5-4c7c-955b-2ce9c0be34a7,Ontario,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),A little connected,Unsure,ensure,18,Ensure & Safe & Prepared & Guard,"ensure, safe, prepared, guard",NEUTRAL,Miscellaneous / Other, guard,1
172,13865d57-e5cc-40ea-8a39-8dc46e472619,Ontario,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),A little connected,A house built on sand will never last.....,house built sand never last,20,Opportunity & Success & Succeed & Accomplishment,"opportunity, success, succeed, accomplishment",NEUTRAL,Miscellaneous / Other,opportunity,1
172,13865d57-e5cc-40ea-8a39-8dc46e472619,Ontario,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),A little connected,A house built on sand will never last.....,house built sand never last,20,Opportunity & Success & Succeed & Accomplishment,"opportunity, success, succeed, accomplishment",NEUTRAL,Growth & Prosperity, success,1
172,13865d57-e5cc-40ea-8a39-8dc46e472619,Ontario,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),A little connected,A house built on sand will never last.....,house built sand never last,20,Opportunity & Success & Succeed & Accomplishment,"opportunity, success, succeed, accomplishment",NEUTRAL,Miscellaneous / Other, succeed,1
172,13865d57-e5cc-40ea-8a39-8dc46e472619,Ontario,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),A little connected,A house built on sand will never last.....,house built sand never last,20,Opportunity & Success & Succeed & Accomplishment,"opportunity, success, succeed, accomplishment",NEUTRAL,Growth & Prosperity, accomplishment,1
173,421da5b3-2637-455a-9ffa-7214086a090d,Ontario,Urban (big city or downtown area),All my life,Boomer (born ~1946–1964),Very connected,Canada. Still free!,canada still free,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",POSITIVE,Canada & National Identity,canada,1
173,421da5b3-2637-455a-9ffa-7214086a090d,Ontario,Urban (big city or downtown area),All my life,Boomer (born ~1946–1964),Very connected,Canada. Still free!,canada still free,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",POSITIVE,Canada & National Identity, canadian,1
173,421da5b3-2637-455a-9ffa-7214086a090d,Ontario,Urban (big city or downtown area),All my life,Boomer (born ~1946–1964),Very connected,Canada. Still free!,canada still free,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",POSITIVE,Miscellaneous / Other, wa,1
173,421da5b3-2637-455a-9ffa-7214086a090d,Ontario,Urban (big city or downtown area),All my life,Boomer (born ~1946–1964),Very connected,Canada. Still free!,canada still free,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",POSITIVE,Miscellaneous / Other, value,1
174,b86a7ae7-c0ad-4b0c-83e1-0b952d679a3d,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,The best is yet to come,best yet come,41,Yet & See & Hot & Garage,"yet, see, hot, garage",POSITIVE,Miscellaneous / Other,yet,1
174,b86a7ae7-c0ad-4b0c-83e1-0b952d679a3d,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,The best is yet to come,best yet come,41,Yet & See & Hot & Garage,"yet, see, hot, garage",POSITIVE,Miscellaneous / Other, see,1
174,b86a7ae7-c0ad-4b0c-83e1-0b952d679a3d,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,The best is yet to come,best yet come,41,Yet & See & Hot & Garage,"yet, see, hot, garage",POSITIVE,Miscellaneous / Other, hot,1
174,b86a7ae7-c0ad-4b0c-83e1-0b952d679a3d,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,The best is yet to come,best yet come,41,Yet & See & Hot & Garage,"yet, see, hot, garage",POSITIVE,Miscellaneous / Other, garage,1
175,b109045a-3252-4914-9666-1523578a739a,Alberta,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Somewhat connected,"Canada, a country of vast beauty and future thinkers",canada country vast beauty future thinker,11,Beautiful & Beauty & Silly & Country,"beautiful, beauty, silly, country",NEUTRAL,Miscellaneous / Other,beautiful,1
175,b109045a-3252-4914-9666-1523578a739a,Alberta,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Somewhat connected,"Canada, a country of vast beauty and future thinkers",canada country vast beauty future thinker,11,Beautiful & Beauty & Silly & Country,"beautiful, beauty, silly, country",NEUTRAL,Emotional & Aesthetic Values, beauty,1
175,b109045a-3252-4914-9666-1523578a739a,Alberta,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Somewhat connected,"Canada, a country of vast beauty and future thinkers",canada country vast beauty future thinker,11,Beautiful & Beauty & Silly & Country,"beautiful, beauty, silly, country",NEUTRAL,Miscellaneous / Other, silly,1
175,b109045a-3252-4914-9666-1523578a739a,Alberta,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Somewhat connected,"Canada, a country of vast beauty and future thinkers",canada country vast beauty future thinker,11,Beautiful & Beauty & Silly & Country,"beautiful, beauty, silly, country",NEUTRAL,Canada & National Identity, country,1
176,e9223127-66c0-4110-bf61-ba5baf43985f,Nova Scotia,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,united,united,39,United & Remaining & Walk & One,"united, remaining, walk, one",NEUTRAL,Miscellaneous / Other,united,1
176,e9223127-66c0-4110-bf61-ba5baf43985f,Nova Scotia,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,united,united,39,United & Remaining & Walk & One,"united, remaining, walk, one",NEUTRAL,Miscellaneous / Other, remaining,1
176,e9223127-66c0-4110-bf61-ba5baf43985f,Nova Scotia,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,united,united,39,United & Remaining & Walk & One,"united, remaining, walk, one",NEUTRAL,Miscellaneous / Other, walk,1
176,e9223127-66c0-4110-bf61-ba5baf43985f,Nova Scotia,Urban (big city or downtown area),All my life,Millennial (born ~1981–1996),Very connected,united,united,39,United & Remaining & Walk & One,"united, remaining, walk, one",NEUTRAL,Miscellaneous / Other, one,1
177,c1a85eeb-0765-4189-abda-cb3bd83a7257,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,"Despite a multitude of challenges, we remained united, strong and free!",despite multitude challenge remained united strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other,free,1
177,c1a85eeb-0765-4189-abda-cb3bd83a7257,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,"Despite a multitude of challenges, we remained united, strong and free!",despite multitude challenge remained united strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other, strong,1
177,c1a85eeb-0765-4189-abda-cb3bd83a7257,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,"Despite a multitude of challenges, we remained united, strong and free!",despite multitude challenge remained united strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other, contribute,1
177,c1a85eeb-0765-4189-abda-cb3bd83a7257,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,"Despite a multitude of challenges, we remained united, strong and free!",despite multitude challenge remained united strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other, multitude,1
178,cbdccfb5-4024-48e1-b028-4635a9df6e29,Saskatchewan,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Canada's new direction.,canada new direction,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",POSITIVE,Canada & National Identity,canada,1
178,cbdccfb5-4024-48e1-b028-4635a9df6e29,Saskatchewan,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Canada's new direction.,canada new direction,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",POSITIVE,Canada & National Identity, canadian,1
178,cbdccfb5-4024-48e1-b028-4635a9df6e29,Saskatchewan,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Canada's new direction.,canada new direction,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",POSITIVE,Miscellaneous / Other, wa,1
178,cbdccfb5-4024-48e1-b028-4635a9df6e29,Saskatchewan,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Canada's new direction.,canada new direction,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",POSITIVE,Miscellaneous / Other, value,1
179,170b82c8-0fad-40f2-9e7c-3b5e5485ba53,British Columbia,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Very connected,Great country becomes a post nationalist globalist shit hole,great country becomes post nationalist loyalist shit hole,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",POSITIVE,Politics & Governance,liberal,1
179,170b82c8-0fad-40f2-9e7c-3b5e5485ba53,British Columbia,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Very connected,Great country becomes a post nationalist globalist shit hole,great country becomes post nationalist loyalist shit hole,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",POSITIVE,Miscellaneous / Other, party,1
179,170b82c8-0fad-40f2-9e7c-3b5e5485ba53,British Columbia,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Very connected,Great country becomes a post nationalist globalist shit hole,great country becomes post nationalist loyalist shit hole,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",POSITIVE,Miscellaneous / Other, destroyed,1
179,170b82c8-0fad-40f2-9e7c-3b5e5485ba53,British Columbia,"Rural (small town, village, or countryside)",All my life,Millennial (born ~1981–1996),Very connected,Great country becomes a post nationalist globalist shit hole,great country becomes post nationalist loyalist shit hole,19,Liberal & Party & Destroyed & British,"liberal, party, destroyed, british",POSITIVE,Miscellaneous / Other, british,1
180,fe18fac7-b902-484f-bb74-a5a0eef5a7f1,Ontario,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Very connected,"Honestly, I'm not sure what that would be",honestly sure would,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other,sure,1
180,fe18fac7-b902-484f-bb74-a5a0eef5a7f1,Ontario,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Very connected,"Honestly, I'm not sure what that would be",honestly sure would,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other, asking,1
180,fe18fac7-b902-484f-bb74-a5a0eef5a7f1,Ontario,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Very connected,"Honestly, I'm not sure what that would be",honestly sure would,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other, sorry,1
180,fe18fac7-b902-484f-bb74-a5a0eef5a7f1,Ontario,Suburban (residential area near a city),All my life,Gen X (born ~1965–1980),Very connected,"Honestly, I'm not sure what that would be",honestly sure would,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other, fine,1
181,70033783-68e5-4546-911e-dc5459019687,Ontario,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Very connected,Built by everyone yet no one in particular,built everyone yet one particular,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Canada & National Identity,nation,1
181,70033783-68e5-4546-911e-dc5459019687,Ontario,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Very connected,Built by everyone yet no one in particular,built everyone yet one particular,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Canada & National Identity, country,1
181,70033783-68e5-4546-911e-dc5459019687,Ontario,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Very connected,Built by everyone yet no one in particular,built everyone yet one particular,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Miscellaneous / Other, culture,1
181,70033783-68e5-4546-911e-dc5459019687,Ontario,Suburban (residential area near a city),All my life,Millennial (born ~1981–1996),Very connected,Built by everyone yet no one in particular,built everyone yet one particular,-1,Nation & Country & Culture & Resource,"nation, country, culture, resource",POSITIVE,Miscellaneous / Other, resource,1
182,18f9a8e1-bc48-4106-96bf-39554810fa77,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Somewhat connected,Still here!,still,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other,de,1
182,18f9a8e1-bc48-4106-96bf-39554810fa77,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Somewhat connected,Still here!,still,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, surprise,1
182,18f9a8e1-bc48-4106-96bf-39554810fa77,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Somewhat connected,Still here!,still,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, still,1
182,18f9a8e1-bc48-4106-96bf-39554810fa77,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Somewhat connected,Still here!,still,7,De & Surprise & Still & Even,"de, surprise, still, even",NEUTRAL,Miscellaneous / Other, even,1
183,c97045fb-a199-404c-b8fb-26b6990b2a39,Ontario,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),Somewhat connected,Strong and free,strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other,free,1
183,c97045fb-a199-404c-b8fb-26b6990b2a39,Ontario,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),Somewhat connected,Strong and free,strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other, strong,1
183,c97045fb-a199-404c-b8fb-26b6990b2a39,Ontario,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),Somewhat connected,Strong and free,strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other, contribute,1
183,c97045fb-a199-404c-b8fb-26b6990b2a39,Ontario,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),Somewhat connected,Strong and free,strong free,4,Free & Strong & Contribute & Multitude,"free, strong, contribute, multitude",POSITIVE,Miscellaneous / Other, multitude,1
184,5b3e1bfc-f855-4574-85d9-6008259ad15d,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Canada is a work in progress,canada work progress,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Canada & National Identity,canada,1
184,5b3e1bfc-f855-4574-85d9-6008259ad15d,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Canada is a work in progress,canada work progress,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Canada & National Identity, canadian,1
184,5b3e1bfc-f855-4574-85d9-6008259ad15d,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Canada is a work in progress,canada work progress,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Miscellaneous / Other, wa,1
184,5b3e1bfc-f855-4574-85d9-6008259ad15d,Ontario,"Rural (small town, village, or countryside)",All my life,Boomer (born ~1946–1964),Very connected,Canada is a work in progress,canada work progress,0,Canada & Canadian & Wa & Value,"canada, canadian, wa, value",NEUTRAL,Miscellaneous / Other, value,1
185,d1756d84-564b-4b4b-86a2-86c51b974ed5,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Not sure.,sure,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other,sure,1
185,d1756d84-564b-4b4b-86a2-86c51b974ed5,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Not sure.,sure,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other, asking,1
185,d1756d84-564b-4b4b-86a2-86c51b974ed5,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Not sure.,sure,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other, sorry,1
185,d1756d84-564b-4b4b-86a2-86c51b974ed5,Ontario,Suburban (residential area near a city),All my life,Boomer (born ~1946–1964),Very connected,Not sure.,sure,2,Sure & Asking & Sorry & Fine,"sure, asking, sorry, fine",POSITIVE,Miscellaneous / Other, fine,1
186,feaa4746-52ab-46aa-898c-f482df049f22,Ontario,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),A little connected,False sense of hope,false sense hope,14,Future & Bright & Hope & Building,"future, bright, hope, building",NEGATIVE,Hope & Future Outlook,future,1
186,feaa4746-52ab-46aa-898c-f482df049f22,Ontario,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),A little connected,False sense of hope,false sense hope,14,Future & Bright & Hope & Building,"future, bright, hope, building",NEGATIVE,Emotional & Aesthetic Values, bright,1
186,feaa4746-52ab-46aa-898c-f482df049f22,Ontario,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),A little connected,False sense of hope,false sense hope,14,Future & Bright & Hope & Building,"future, bright, hope, building",NEGATIVE,Hope & Future Outlook, hope,1
186,feaa4746-52ab-46aa-898c-f482df049f22,Ontario,Urban (big city or downtown area),All my life,Gen Z (born ~1997–2012),A little connected,False sense of hope,false sense hope,14,Future & Bright & Hope & Building,"future, bright, hope, building",NEGATIVE,Growth & Prosperity, building,1
188,3fac1d26-2847-4f0a-9dc7-8e612e5ce1bb,Saskatchewan,Urban (big city or downtown area),20+ years,Millennial (born ~1981–1996),Not at all connected,A strong and united country,strong united country,16,Nation & Independent & Proud & Strong,"nation, independent, proud, strong",POSITIVE,Canada & National Identity,nation,1
188,3fac1d26-2847-4f0a-9dc7-8e612e5ce1bb,Saskatchewan,Urban (big city or downtown area),20+ years,Millennial (born ~1981–1996),Not at all connected,A strong and united country,strong united country,16,Nation & Independent & Proud & Strong,"nation, independent, proud, strong",POSITIVE,Freedom & Sovereignty, independent,1
188,3fac1d26-2847-4f0a-9dc7-8e612e5ce1bb,Saskatchewan,Urban (big city or downtown area),20+ years,Millennial (born ~1981–1996),Not at all connected,A strong and united country,strong united country,16,Nation & Independent & Proud & Strong,"nation, independent, proud, strong",POSITIVE,Identity & Cultural Pride, proud,1
188,3fac1d26-2847-4f0a-9dc7-8e612e5ce1bb,Saskatchewan,Urban (big city or downtown area),20+ years,Millennial (born ~1981–1996),Not at all connected,A strong and united country,strong united country,16,Nation & Independent & Proud & Strong,"nation, independent, proud, strong",POSITIVE,Miscellaneous / Other, strong,1
189,e939c340-71f9-4a51-ba97-bc83c082e285,Saskatchewan,Urban (big city or downtown area),20+ years,Gen X (born ~1965–1980),Somewhat connected,Govt scandals,got scandal,38,Scandal & Got & Pulled & Way,"scandal, got, pulled, way",NEUTRAL,Miscellaneous / Other,scandal,1
